year,overs,sixes,sixes_rate
1991,6969.6,71.0,98.1633802817
1992,9235.2,88.0,104.945454545
1993,12286.2,133.0,92.377443609
1994,13486.3,172.0,78.4087209302
1995,12597.2,131.0,96.1618320611
1996,9533.5,116.0,82.1853448276
1997,14462.0,218.0,66.3394495413
1998,15243.0,203.0,75.0886699507
1999,14352.4,211.0,68.0208530806
2000,14910.2,216.0,69.0287037037
2001,18219.6,317.0,57.4750788644
2002,16943.8,314.0,53.9611464968
2003,15266.7,290.0,52.6437931034
2004,17260.1,375.0,46.0269333333
2005,15285.7,351.0,43.549002849
2006,14935.2,315.0,47.4133333333
2007,9918.4,149.0,66.566442953
2008,15618.1,288.0,54.2295138889
2009,14020.4,308.0,45.5207792208
2010,14144.5,338.0,41.8476331361
2011,13078.4,275.0,47.5578181818
2012,14192.0,305.0,46.531147541
2013,14508.3,334.0,43.4380239521
2014,14631.1,436.0,33.5575688073
2015,13452.3,350.0,38.4351428571
2016,15175.4,342.0,44.3725146199
