year,overs,wicket_rate,wickets
1991,6969.6,11.2776699029,618.0
1992,9235.2,11.500871731,803.0
1993,12286.2,11.9631937683,1027.0
1994,13486.3,11.2950586265,1194.0
1995,12597.2,10.3766062603,1214.0
1996,9533.5,10.6163697105,898.0
1997,14462.0,10.9560606061,1320.0
1998,15243.0,10.6445530726,1432.0
1999,14352.4,10.8895295903,1318.0
2000,14910.2,10.6349500713,1402.0
2001,18219.6,11.0488781079,1649.0
2002,16943.8,10.121744325,1674.0
2003,15266.7,11.3086666667,1350.0
2004,17260.1,10.7338930348,1608.0
2005,15285.7,9.96460234681,1534.0
2006,14935.2,10.3072463768,1449.0
2007,9918.4,10.4404210526,950.0
2008,15618.1,10.4749161636,1491.0
2009,14020.4,11.1716334661,1255.0
2010,14144.5,10.8887605851,1299.0
2011,13078.4,10.2898505114,1271.0
2012,14192.0,10.8170731707,1312.0
2013,14508.3,10.238743825,1417.0
2014,14631.1,10.9105891126,1341.0
2015,13452.3,9.81919708029,1370.0
2016,15175.4,10.2884067797,1475.0
